order_id,payment_id,user_id,product_id,category,sub_category,timestamp,price,quantity,discount_pct,total_amount,payment_method,order_status,is_fraud
1,1,2119,2867,Fashion,Clothing & Accessories,2022-07-28 15:46:39,411.17,1,16.6,342.92,UPI,Completed,0
2,2,1299,2782,Fashion,Clothing & Accessories,2022-05-25 15:46:06,154.89,1,8.8,141.26,Net Banking,Cancelled,0
3,3,1556,2376,Appliances,Large Appliances,2022-02-27 12:24:27,714.16,1,15.1,606.32,UPI,Completed,0
4,4,1459,2127,Electronics,Mobiles & Laptops,2022-07-10 16:02:05,579.54,2,14.9,986.38,UPI,Completed,0
5,5,1683,2754,Fashion,Clothing & Accessories,2022-09-10 23:27:12,259.2,2,6.7,483.67,Wallet,Cancelled,0
6,6,1581,2377,Electronics,Mobiles & Laptops,2022-02-15 15:43:05,407.58,4,14.8,1389.03,UPI,Completed,0
7,7,1265,2760,Electronics,Mobiles & Laptops,2022-12-11 10:54:25,855.17,2,6.0,1607.72,UPI,Returned,0
8,8,1278,2784,Home & Kitchen,Furniture & Decor,2022-11-21 21:22:30,349.72,1,4.1,335.38,Debit Card,Cancelled,0
9,9,2002,2286,Home & Kitchen,Furniture & Decor,2022-08-08 17:08:01,151.58,2,7.4,280.73,UPI,Completed,0
10,10,1253,2028,Books,Educational,2022-03-20 17:48:04,195.81,2,18.6,318.78,Debit Card,Completed,0
11,11,1039,2207,Appliances,Large Appliances,2022-09-26 20:34:01,532.1,1,12.6,465.06,Net Banking,Completed,0
12,12,1570,2393,Home & Kitchen,Furniture & Decor,2022-01-06 16:55:49,257.54,2,6.6,481.08,UPI,Returned,0
13,13,2098,2320,Appliances,Large Appliances,2022-10-22 16:34:36,722.08,2,7.2,1340.18,Credit Card,Completed,0
14,14,2027,2401,Home & Kitchen,Furniture & Decor,2022-10-25 22:20:03,192.19,2,12.6,335.95,UPI,Completed,0
15,15,1982,2829,Books,Educational,2022-06-04 13:22:26,161.31,1,22.8,124.53,UPI,Completed,0
16,16,1931,2320,Appliances,Large Appliances,2022-06-11 09:34:20,666.64,2,6.0,1253.28,UPI,Completed,0
17,17,1231,2432,Fashion,Clothing & Accessories,2022-12-13 16:20:36,243.32,2,8.8,443.82,UPI,Completed,0
18,18,2134,2345,Electronics,Mobiles & Laptops,2022-04-10 12:27:12,598.04,2,15.0,1016.67,Credit Card,Returned,0
19,19,1117,2220,Electronics,Mobiles & Laptops,2022-07-08 17:05:45,472.41,1,24.9,354.78,Wallet,Completed,0
20,20,1882,2581,Home & Kitchen,Furniture & Decor,2022-11-21 19:32:51,380.41,1,3.1,368.62,UPI,Completed,0
21,21,1524,2412,Appliances,Large Appliances,2022-09-01 17:33:55,513.07,2,18.4,837.33,UPI,Completed,0
22,22,2171,2275,Electronics,Mobiles & Laptops,2022-11-14 21:46:40,862.3,2,14.2,1479.71,UPI,Completed,0
23,23,1200,2155,Books,Educational,2022-07-28 20:04:40,161.97,3,21.9,379.5,UPI,Completed,0
24,24,1655,2165,Electronics,Mobiles & Laptops,2022-03-07 03:51:52,453.87,2,13.1,788.83,UPI,Completed,0
25,25,1850,2663,Sports & Fitness,Exercise Equipment,2022-01-26 19:42:35,562.26,1,4.1,539.21,UPI,Returned,0
26,26,1214,2802,Fashion,Clothing & Accessories,2022-10-28 06:26:57,156.97,3,1.3,464.79,UPI,Completed,0
27,27,1528,2242,Fashion,Clothing & Accessories,2022-09-27 16:49:59,189.18,2,14.0,325.39,Credit Card,Completed,0
28,28,1827,2126,Home & Kitchen,Furniture & Decor,2022-11-26 18:15:59,370.62,1,12.5,324.29,Credit Card,Completed,0
29,29,1316,2451,Appliances,Large Appliances,2022-09-23 21:20:34,583.77,3,5.8,1649.73,Credit Card,Completed,0
30,30,2010,2372,Home & Kitchen,Furniture & Decor,2022-10-20 04:47:42,266.33,1,4.6,254.08,Wallet,Completed,0
31,31,1339,2246,Appliances,Large Appliances,2022-10-26 18:34:55,513.84,2,17.8,844.75,UPI,Completed,1
